Restaurant,Rating,Reviews,Price,City,State,ZipCode,Category
Jacob's Pickles,4.0,3284,2,New York,NY,10024,Comfort Food
Upstate,4.5,1594,2,New York,NY,10003,Seafood
Spot Dessert Bar,4.0,2674,2,New York,NY,10003,Desserts
Ippudo Westside,4.0,3239,2,New York,NY,10019,Ramen
Thai Villa,4.5,1946,2,New York,NY,10003,Thai
Caracas Arepa Bar,4.0,2476,2,New York,NY,10009,Venezuelan
Cafe Habana,4.0,3055,2,New York,NY,10012,Cuban
Molly's Cupcakes,4.5,1531,2,New York,NY,10014,Bakeries
Angel's Share,4.5,1939,2,New York,NY,10003,Cocktail Bars
Rice To Riches,4.0,2837,2,New York,NY,10012,Desserts
Doughnut Plant,4.0,2339,2,New York,NY,10011,Donuts
The Boil,4.5,1685,2,New York,NY,10002,Cajun/Creole
Up Thai,4.5,1791,2,New York,NY,10021,Thai
Ample Hills Creamery,4.5,1255,2,Brooklyn,NY,11238,Ice Cream & Frozen Yogurt
The Meatball Shop,4.0,2673,2,New York,NY,10002,Italian
Izakaya MEW,4.0,1870,2,New York,NY,10001,Tapas Bars
Jane,4.0,2939,2,New York,NY,10012,Breakfast & Brunch
Junior's Restaurant & Bakery - 45th St.,4.0,3692,2,New York,NY,10036,Bakeries
Carmine's Italian Restaurant - Times Square,4.0,3146,2,New York,NY,10036,Italian
Rubirosa,4.0,1697,2,New York,NY,10012,Italian
Pure Thai Cookhouse,4.0,2248,2,New York,NY,10019,Thai
Grimaldi's,3.5,4384,2,Brooklyn,NY,11201,Pizza
Max Brenner - New York,3.5,4227,2,New York,NY,10003,Chocolatiers & Shops
Di Fara Pizza,4.0,3003,2,Brooklyn,NY,11230,Pizza
Thursday Kitchen,4.5,963,2,New York,NY,10009,Korean
Roberta's,4.0,2469,2,Brooklyn,NY,11206,Pizza
Bogota Latin Bistro,4.0,1942,2,Brooklyn,NY,11217,Gluten-Free
Coffee Project NY,4.5,591,2,New York,NY,10003,Coffee & Tea
Grace Street,4.0,1782,2,New York,NY,10001,Coffee & Tea
Veniero's,4.0,1835,2,New York,NY,10003,Bakeries
Beyond Sushi,4.5,885,2,New York,NY,10003,Sushi Bars
Stumptown Coffee Roasters,4.5,1341,2,New York,NY,10001,Coffee & Tea
Bea,4.0,1956,2,New York,NY,10036,American (New)
Buddakan,4.0,3558,3,New York,NY,10011,Chinese
Club A Steakhouse,4.5,2287,3,New York,NY,10022,Steakhouses
Traif,4.5,1773,3,Brooklyn,NY,11211,American (New)
ABC Kitchen,4.0,2761,3,New York,NY,10003,American (New)
L'Artusi,4.5,1552,3,New York,NY,10014,Italian
Ladurée Madison Ave,4.5,1789,3,New York,NY,10021,Macarons
Beauty & Essex,4.0,2909,3,New York,NY,10002,American (New)
Balthazar Restaurant,4.0,2753,3,New York,NY,10012,French
La Sirene,4.5,1506,3,New York,NY,10013,French
Scarpetta,4.0,1709,3,New York,NY,10016,Italian
Sakagura,4.0,1650,3,New York,NY,10017,Japanese
ilili,4.0,2152,3,New York,NY,10001,Mediterranean
Minetta Tavern,4.0,2016,3,New York,NY,10012,French
Momofuku Ssam Bar,4.0,2280,3,New York,NY,10003,American (New)
Raines Law Room,4.5,1296,3,New York,NY,10011,Lounges
The Stanton Social,4.0,2700,3,New York,NY,10002,Lounges
Aquagrill,4.0,1261,3,New York,NY,10012,Seafood
The NoMad Restaurant,4.0,1349,3,New York,NY,10001,French
Gyu-Kaku Japanese BBQ,4.0,1531,3,New York,NY,10003,Japanese
Pylos,4.5,1047,3,New York,NY,10009,Greek
Bohemian Restaurant,4.5,673,3,New York,NY,10012,Japanese
The Little Owl,4.0,1212,3,New York,NY,10014,Desserts
Alta,4.0,1722,3,New York,NY,10011,Tapas Bars
Lupa,4.0,1397,3,New York,NY,10012,Italian
The Spotted Pig,3.5,2815,3,New York,NY,10014,Burgers
Takashi,4.0,902,3,New York,NY,10014,Japanese
Zenkichi,4.0,905,3,Brooklyn,NY,11249,Japanese
Blue Ribbon Brasserie - SoHo,4.5,873,3,New York,NY,10012,American (Traditional)
DeStefano's Steakhouse,4.5,692,3,Brooklyn,NY,11211,Steakhouses
Marc Forgione,4.5,852,3,New York,NY,10013,American (New)
Becco,3.5,2519,3,New York,NY,10036,Italian
Employees Only,4.0,1342,3,New York,NY,10014,American (New)
Locanda Verde,4.0,1478,3,New York,NY,10013,Italian
Hatsuhana Sushi Restaurant,4.0,1113,3,New York,NY,10017,Japanese
Blossom,4.0,928,3,New York,NY,10011,Vegetarian
Candle 79,4.0,1241,3,New York,NY,10075,Vegetarian
Toloache 50,4.0,1648,3,New York,NY,10012,Mexican
Lure Fishbar - New York,4.0,1500,3,New York,NY,33139,Seafood
Trattoria L'incontro,4.5,813,3,Astoria,NY,11105,Italian
The Sea Fire Grill,4.5,865,3,New York,NY,10017,Seafood
Please Don't Tell,4.0,1590,3,New York,NY,10009,Lounges
Gato,4.0,991,3,New York,NY,10012,Mediterranean
