Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Loving Cup,_HlW-c1QD_CtGRK0cRo5SQ,4,397,1,San Francisco,CA,94102,Ice Cream & Frozen Yogurt
Loving Cup,8LEnV8Z0-YKPWb1nLKgQHQ,4,1035,1,San Francisco,CA,94109,Desserts
Loving Hut,NoxxbgVp7ilvMm6O9FX9hA,4,605,1,San Francisco,CA,94103,Sandwiches
Lucca Delicatessen,1bvordoxuK59aoPrOQpA7g,4,599,1,San Francisco,CA,94123,Delis
Luce,FDi2dELjM0T_Es8Ka-C6gQ,3.5,700,3,San Francisco,CA,94103,American (New)
Lucile's Steaks & Spirits,qL62IGA1SnLeut4Lvophzw,4,14,2,Centerville,IA,52544,Bars
Lucky 13,7rs_PZ3yO9ZrVVSyx3bB0g,4,659,1,San Francisco,CA,94114,Dive Bars
Lucky Bamboo,HjwivLt9JKBcSeu1aCmdBA,4,54,1,Ankeny,IA,50021,Chinese
Luckyrice Feast,s0b3Y6dW-O8rwxDjJNz3UQ,3,3,4,San Francisco,CA,94111,Asian Fusion
Luigis Italian Restorante,jeSGRBL_8K6AhkUp-fS3JQ,4.5,64,2,Des Moines,IA,50320,Italian
Luke's Lobster East Village,UXTTvSG3TVbSkbVGVtZ8dA,4,1473,2,New York,NY,10009,Seafood
Luke's Lobster Upper West Side,ahWC_GUPWPMyYiSKsgBPiA,4,626,2,New York,NY,10024,Seafood
Luke's Lobster Upper West Side,ahWC_GUPWPMyYiSKsgBPiA,4,626,2,New York,NY,10024,Seafood
Lunch Box,KCISn0hhX9wH9ChgWRXnDw,4,131,1,New York,NY,10019,Sandwiches
Lupa,yZJbealagfujEkgesAl2hA,4,1396,3,New York,NY,10012,Italian
Lupa Trattoria,0COxcLD-42ecMqBYyoUfyQ,4,600,2,San Francisco,CA,94114,Italian
Lupita's Restaurant,NXjCypQNl7tBrdR3gkFqdg,4,105,2,New York,NY,10029,Mexican
Lure Fishbar - New York,aSFBv64GBpMOFPqIleeQFQ,4,1499,3,New York,NY,33139,Seafood
Lure Fishbar - New York,aSFBv64GBpMOFPqIleeQFQ,4,1499,3,New York,NY,33139,Seafood
Luzzos La Pizza Napoletana,eVk4F9ixl89zyUHJ1G2Aiw,4,994,2,New York,NY,10003,Italian
Ly's Vietnamese Cuisine,t6TROjhvQzXJEhjI_nm08g,4.5,358,2,San Francisco,CA,94123,Vietnamese
Macaron Parlour,Qv55durebiw0UMYaK29Y5w,4,384,2,New York,NY,10009,Bakeries
MAC'D,jvYlBwqNkkD32Q-4VPLK9Q,4,530,2,San Francisco,CA,94123,Comfort Food
Made In Mexico Harlem,FrYsIO_pXB6csWkvy-nfbQ,4,72,2,New York,NY,10029,Cocktail Bars
Magnolia Bakery Upper West Side,7Oab05KVxJDrA8VfpgxEcQ,3.5,1003,2,New York,NY,10023,Desserts
Mahalo's Coffee Co Mini Donuts & Catering,Bce2OgsSpuPMZk7aHY-fhA,5,46,1,West Des Moines,IA,50265,Donuts
Maharlika,1_S2RxVWOidWcgbU2tBQBQ,4,1375,2,New York,NY,10003,Filipino
Mahogany Prime Steakhouse,oosHP5KEFk-3ySnhiXABgw,4.5,168,4,Omaha,NE,68154,Steakhouses
Mahogany Prime Steakhouse,oosHP5KEFk-3ySnhiXABgw,4.5,168,4,Omaha,NE,68154,Steakhouses
Mahogany Prime Steakhouse,oosHP5KEFk-3ySnhiXABgw,4.5,168,4,Omaha,NE,68154,Steakhouses
Mahogany Prime Steakhouse,oosHP5KEFk-3ySnhiXABgw,4.5,168,4,Omaha,NE,68154,Steakhouses
Maialino,yi6jIxzHo-nbAOG4KWuqcw,4,1251,3,New York,NY,10010,Italian
Main Street BBQ & Grill,O3U2v1Kgd-iqtRtZ8QNZ3A,4,24,2,Blair,NE,68008,American (Traditional)
Main Street Cafe & Bakery,t4iVBiDsXzpYNbBZhbuRkQ,4.5,133,1,Ankeny,IA,50023,Cafes
Maison Pickle,XsElXaLxUPKquI78poB8yw,4,564,2,New York,NY,10024,Cocktail Bars
Maison Premiere,O4rYM6YBj90W2u7RhG3Mvg,4,1040,3,Brooklyn,NY,11249,Seafood
Malaysia Grill,B9Mbi12NpBJkZcRtQNtMBA,4,255,2,New York,NY,10024,Malaysian
Malii,I4FWrwXDC91lsfQLXYSeXA,4.5,190,2,New York,NY,10029,Thai
MamaGyro,RG65RgQDCle9ZAtOq6-JMw,3,33,1,New York,NY,10029,Desserts
Mama's On Washington Square,MvAo0hj9FXOeNL5PwBZ0fQ,4,3949,2,San Francisco,CA,94133,Breakfast & Brunch
Mamoun's Falafel,3o0Jp9ttSpP1wu7Focs7xg,4,1095,1,New York,NY,10003,Middle Eastern
Mamoun's Falafel,L-IuiVoFMDSw2K6OAciP1g,4,2261,1,New York,NY,10012,Middle Eastern
Mandarin Lounge,mQcPH4b77-fPh7yFuqLctQ,1,1,4,San Francisco,CA,94104,Lounges
Mandarin Lounge,mQcPH4b77-fPh7yFuqLctQ,1,1,4,San Francisco,CA,94104,Lounges
Mangia Italiana,f2t1xgVCwBKe6LwUEmfWcg,4.5,178,2,Omaha,NE,68122,Italian
Mangia Italiana,f2t1xgVCwBKe6LwUEmfWcg,4.5,178,2,Omaha,NE,68122,Italian
Manhattan Cricket Club,weCOWpBaTreowCDFuBznqw,4,78,3,New York,NY,10024,Cocktail Bars
Manhattan Cricket Club,weCOWpBaTreowCDFuBznqw,4,78,3,New York,NY,10024,Cocktail Bars
Mani Market Place,VKKXe8TdToQN5vXfxj5csg,4.5,61,1,New York,NY,10025,Delis
Mantra Bar & Grille,of6tCPdwX5xnoXhiHy43tA,4,113,2,Omaha,NE,68104,Sports Bars
Maoz Vegetarian,0dG6Qqw0TZDYInWPOhDBGQ,4,42,1,New York,NY,10029,Vegetarian
Mara's Italian Pastry,eBwXYcyh_4C4xiKYCy1ygw,3.5,535,1,San Francisco,CA,94133,Bakeries
Marcello's Pizza,AQviX2W0XXJqYtc73KaNxQ,4,662,1,San Francisco,CA,94114,Pizza
Marchi's Restaurant,aP2gsHT_aBFpXOD7tvPONg,3.5,36,4,New York,NY,10016,Italian
Marea,H_KyiRhwho8rdlw_R93_0Q,4,1799,4,New York,NY,10019,Italian
Marengo,jdxZe4JJJRcoeGnG2wtB5g,4,307,2,San Francisco,CA,94123,American (Traditional)
Maria's Tacos,__Q496X_ViBKNefsxcp3Tg,4.5,12,1,Marshalltown,IA,50158,Mexican
Maria's Tacos,__Q496X_ViBKNefsxcp3Tg,4.5,12,1,Marshalltown,IA,50158,Mexican
Marina Lounge,4wIqSoCBGo-VBHv-yqoGGA,4,117,1,San Francisco,CA,94123,Lounges
Marina Pizza and Caffe,wTJhR3NdvpCB2ZAx_qRiqQ,3,234,1,San Francisco,CA,94123,Pizza
Marina Submarine,c1uPQc6ylqB4Pj-KYB8cpw,4,381,1,San Francisco,CA,94123,Delis
Mario's Bohemian Cigar Store Cafe,UjeOgcv831QTChTP04-Uag,4,546,2,San Francisco,CA,94133,Italian
MarkJoseph Steakhouse,3hRE9hN7Yp9AHJD8ahAVDQ,4,353,4,New York,NY,10038,Steakhouses
Marlowe,c0WpyZFR3EoEBKcoY2LZ3Q,4,2513,2,San Francisco,CA,94107,American (New)
Mars Cafe,ixMbVwUI4sNbixWnBieOcw,4.5,102,1,Des Moines,IA,50311,Coffee & Tea
Maru Sushi  Korean Grill,4SjfLfnkJdeqUCWy1zpHvA,4,168,2,Omaha,NE,68137,Korean
Marufuku Ramen SF,HHtpR0RslupSQ99GIIwW5A,4.5,1511,2,San Francisco,CA,94115,Ramen
Maruya,k8UnUjLkikZSdJ8NYWl6zA,4,330,4,San Francisco,CA,94103,Japanese
Maruya,k8UnUjLkikZSdJ8NYWl6zA,4,330,4,San Francisco,CA,94103,Japanese
Masa,t7BIiUN0tFg33kySuuQ0aQ,4,287,4,New York,NY,10019,Sushi Bars
Massawa Restaurant,87wvt5-EkwbD1NY2gR5sAQ,4.5,230,2,San Francisco,CA,94133,Ethiopian
Masseria Dei Vini,zg9Jrtx9rqTXeaqufSOxHQ,4,385,3,New York,NY,10019,Wine Bars
Master's Hand,92byffFCuK6CNbmHNzGbeA,5,5,2,Tekamah,NE,68061,Flowers & Gifts
Matcha Cafe Maiko,sSiUcnbwPQ4ssHY3EMV0Fw,4.5,441,1,San Francisco,CA,94115,Coffee & Tea
Matcha Love By Ito En,rEOG5IJN_5TI2Xn8d3D0Dg,4,168,1,Edgewater,NJ,7020,Coffee & Tea
Matterhorn Restaurant,av8vitp4twNYvUi4Ox0pGw,3.5,333,3,San Francisco,CA,94109,Fondue
Mauna Loa Club,DzPKa_2ec8JD81Y7lHtuXg,3.5,245,1,San Francisco,CA,94123,Dive Bars
Maxwells Central Park,8cycOQsmOt0ptlrBlOWdFA,4,139,2,New York,NY,10029,American (Traditional)
Mayanoki,lPz4dEFSE1YzASjXYPVYnA,4.5,35,4,New York,NY,10003,Sushi Bars
Mayanoki,lPz4dEFSE1YzASjXYPVYnA,4.5,35,4,New York,NY,10003,Sushi Bars
Maybeck's,bvqcwnYisSiyvaRvobBJLA,4,254,3,San Francisco,CA,94123,American (New)
Maykadeh,OpBTLNaGnGcn8DRsLcEfQQ,4,741,2,San Francisco,CA,94133,Middle Eastern
McCormick & Kuleto's Seafood & Steaks,afBjDUDJ29UEz96uZD27mA,3,1113,3,San Francisco,CA,94109,Seafood
